Frame,nose_dist,body_dist,freezing,location,Novel,Known
1,0.0,0.0,0,other,0.0,0.0
2,0.0,0.0,0,other,0.0,0.0
3,0.0,0.0,0,other,0.0,0.0
4,0.0,0.0,0,other,0.0,0.0
5,0.0,0.0,0,other,0.0,0.0
6,0.0,0.0,0,other,0.0,0.0
7,0.0,0.0,0,other,0.0,0.0
8,0.0,0.0,0,other,0.0,0.0
9,0.0,0.0,0,other,0.0,0.0
10,0.0,0.0,0,other,0.0,0.0
11,0.0,0.0,0,other,0.0,0.0
12,0.0,0.0,0,other,0.0,0.0
13,0.0,0.0,0,other,0.0,0.0
14,0.0,0.0,0,other,0.0,0.0
15,0.0,0.0,0,other,0.0,0.0
16,0.0,0.0,0,other,0.0,0.25653586
17,0.0,0.0,0,other,0.0,0.59584385
18,0.0,0.0,0,other,0.0,0.8292463
19,0.0,0.0,0,other,0.0,0.8989891
20,0.0,0.0,0,other,0.0,0.9069457
21,0.0,0.0,0,other,0.0,0.8946612
22,0.0,0.0,0,other,0.0,0.8553679
23,0.0,0.0,0,other,0.0,0.71548194
24,0.0,0.0,0,other,0.0,0.39530188
25,0.0,0.0,0,other,0.0,0.11759195
26,0.0,0.0,0,other,0.0,0.0
27,0.0,0.0,0,other,0.0,0.0
28,0.0,0.0,0,other,0.0,0.0
29,0.0,0.0,0,other,0.0,0.0
30,0.0,0.0,0,other,0.0,0.0
31,0.0,0.0,0,other,0.0,0.0
32,0.0,0.0,0,other,0.0,0.0
33,0.0,0.0,0,other,0.0,0.0
34,0.0,0.0,0,other,0.0,0.0
35,0.0,0.0,0,other,0.0,0.0
36,0.0,0.0,0,other,0.0,0.0
37,0.0,0.0,0,other,0.0,0.0
38,0.0,0.0,0,other,0.0,0.0
39,0.0,0.0,0,other,0.0,0.0
40,0.0,0.0,0,right,0.0,0.0
41,0.0,0.0,0,right,0.0,0.0
42,0.0,0.0,0,other,0.0,0.0
43,0.0,0.0,0,other,0.0,0.0
44,0.0,0.0,0,other,0.0,0.0
45,0.0,0.0,0,other,0.0,0.0
46,0.0,0.0,0,other,0.0,0.0
47,0.0,0.0,0,other,0.0,0.0
48,0.0,0.0,0,other,0.0,0.0
49,0.0,0.0,0,other,0.0,0.0
50,0.0,0.0,0,other,0.0,0.0
51,0.0,0.0,0,other,0.0,0.0
52,0.0,0.0,0,other,0.0,0.0
53,0.0,0.0,0,other,0.0,0.0
