Frame,obj_1,obj_2
1,0.01,0.02
2,0.01,0.01
3,0.01,0.01
4,0.01,0.01
5,0.01,0.01
6,0.01,0.01
7,0.01,0.01
8,0.01,0.01
9,0.01,0.02
10,0.01,0.02
11,0.01,0.02
12,0.01,0.03
13,0.01,0.03
14,0.01,0.05
15,0.01,0.11
16,0.01,0.24
17,0.01,0.42
18,0.01,0.51
19,0.01,0.6
20,0.01,0.68
21,0.01,0.7
22,0.01,0.67
23,0.01,0.59
24,0.01,0.38
25,0.01,0.23
26,0.01,0.16
27,0.01,0.11
28,0.01,0.06
29,0.01,0.04
30,0.01,0.03
31,0.01,0.02
32,0.01,0.02
33,0.01,0.02
34,0.01,0.02
35,0.01,0.02
36,0.01,0.02
37,0.01,0.02
38,0.01,0.02
39,0.01,0.02
40,0.01,0.02
41,0.01,0.02
42,0.01,0.02
43,0.01,0.02
44,0.01,0.02
45,0.01,0.02
46,0.01,0.02
47,0.01,0.02
48,0.01,0.02
49,0.01,0.02
50,0.01,0.02
51,0.01,0.02
52,0.01,0.02
53,0.01,0.02
54,0.01,0.03
55,0.01,0.06
56,0.01,0.11
57,0.01,0.2
58,0.01,0.28
59,0.01,0.34
60,0.01,0.42
61,0.01,0.47
62,0.01,0.46
63,0.01,0.43
64,0.01,0.37
65,0.01,0.27
66,0.01,0.16
67,0.01,0.09
68,0.01,0.06
69,0.01,0.04
70,0.01,0.04
71,0.01,0.03
72,0.01,0.02
73,0.01,0.02
74,0.01,0.02
75,0.01,0.02
76,0.01,0.02
77,0.01,0.02
78,0.01,0.02
79,0.01,0.02
80,0.01,0.02
81,0.01,0.02
82,0.01,0.02
83,0.01,0.02
84,0.02,0.02
85,0.02,0.02
86,0.02,0.02
87,0.02,0.01
88,0.02,0.01
89,0.02,0.01
90,0.02,0.01
91,0.02,0.01
92,0.02,0.01
93,0.02,0.02
94,0.02,0.02
95,0.01,0.02
96,0.01,0.02
97,0.01,0.02
98,0.01,0.02
99,0.01,0.02
100,0.01,0.02
101,0.01,0.02
102,0.01,0.02
103,0.01,0.02
104,0.01,0.02
105,0.01,0.02
106,0.01,0.02
107,0.01,0.02
108,0.01,0.02
109,0.01,0.02
110,0.01,0.02
111,0.01,0.02
112,0.02,0.02
113,0.02,0.02
114,0.02,0.02
115,0.03,0.02
116,0.03,0.02
117,0.03,0.02
118,0.02,0.02
119,0.02,0.02
120,0.02,0.02
121,0.02,0.02
122,0.02,0.02
123,0.02,0.02
124,0.02,0.02
125,0.02,0.02
126,0.02,0.02
127,0.02,0.02
128,0.02,0.02
129,0.02,0.02
130,0.02,0.02
131,0.02,0.02
132,0.02,0.02
133,0.02,0.02
134,0.04,0.02
135,0.12,0.02
136,0.68,0.02
137,0.95,0.02
138,0.98,0.02
139,0.99,0.02
140,0.99,0.02
141,0.99,0.02
142,0.98,0.02
143,0.97,0.02
144,0.92,0.02
145,0.67,0.02
146,0.3,0.02
147,0.18,0.02
148,0.12,0.02
149,0.2,0.02
150,0.27,0.02
151,0.4,0.02
152,0.55,0.02
153,0.67,0.02
154,0.78,0.02
155,0.87,0.02
156,0.93,0.02
157,0.97,0.02
158,0.98,0.02
159,0.99,0.02
160,0.99,0.02
161,0.99,0.02
162,0.99,0.01
163,0.99,0.01
164,0.99,0.01
165,0.95,0.01
166,0.21,0.01
167,0.02,0.01
168,0.02,0.01
169,0.01,0.01
170,0.01,0.02
171,0.01,0.02
172,0.01,0.02
173,0.01,0.02
174,0.01,0.02
175,0.01,0.02
176,0.01,0.02
177,0.01,0.02
178,0.02,0.02
179,0.02,0.02
180,0.02,0.02
181,0.02,0.02
182,0.01,0.02
183,0.01,0.02
184,0.01,0.02
185,0.01,0.02
186,0.01,0.02
187,0.01,0.02
188,0.01,0.02
189,0.01,0.02
190,0.01,0.02
191,0.01,0.03
192,0.01,0.03
193,0.01,0.05
194,0.01,0.1
195,0.01,0.3
196,0.01,0.53
197,0.01,0.66
198,0.01,0.7
199,0.01,0.69
200,0.01,0.67
201,0.01,0.56
202,0.01,0.35
203,0.01,0.11
204,0.01,0.04
205,0.01,0.03
206,0.01,0.03
207,0.01,0.03
208,0.01,0.02
209,0.02,0.02
210,0.02,0.02
211,0.02,0.02
212,0.01,0.02
213,0.01,0.02
214,0.01,0.02
215,0.01,0.02
216,0.01,0.02
217,0.01,0.02
218,0.01,0.02
219,0.01,0.02
220,0.01,0.02
221,0.01,0.02
222,0.02,0.02
223,0.02,0.02
224,0.02,0.02
225,0.02,0.02
226,0.02,0.02
227,0.02,0.02
228,0.01,0.02
229,0.01,0.02
230,0.01,0.02
231,0.01,0.02
232,0.01,0.02
233,0.01,0.02
234,0.01,0.02
235,0.01,0.02
236,0.01,0.02
237,0.01,0.02
238,0.01,0.02
239,0.01,0.02
240,0.01,0.02
241,0.01,0.02
242,0.01,0.02
243,0.01,0.02
244,0.01,0.02
245,0.01,0.02
246,0.01,0.02
247,0.01,0.02
248,0.01,0.02
249,0.01,0.02
250,0.01,0.02
251,0.01,0.02
252,0.01,0.02
253,0.01,0.02
254,0.01,0.02
255,0.01,0.02
256,0.01,0.02
257,0.01,0.02
258,0.01,0.02
259,0.01,0.02
260,0.01,0.02
261,0.01,0.02
262,0.01,0.02
263,0.01,0.02
264,0.01,0.02
265,0.01,0.02
266,0.01,0.02
267,0.01,0.02
268,0.02,0.02
269,0.02,0.02
270,0.02,0.02
271,0.02,0.02
272,0.02,0.02
273,0.02,0.02
274,0.02,0.02
275,0.02,0.02
276,0.01,0.02
277,0.01,0.02
278,0.01,0.02
279,0.01,0.01
280,0.01,0.01
281,0.01,0.02
282,0.01,0.02
283,0.01,0.02
284,0.01,0.02
285,0.01,0.02
286,0.01,0.02
287,0.01,0.02
288,0.01,0.01
289,0.01,0.01
290,0.01,0.01
291,0.01,0.01
292,0.01,0.01
293,0.01,0.01
294,0.01,0.01
295,0.01,0.01
296,0.01,0.01
297,0.01,0.01
298,0.01,0.01
299,0.01,0.02
300,0.01,0.02
301,0.01,0.02
302,0.01,0.02
303,0.01,0.02
304,0.01,0.02
305,0.01,0.02
306,0.01,0.02
307,0.01,0.01
308,0.01,0.01
309,0.01,0.01
310,0.01,0.01
311,0.01,0.01
312,0.01,0.01
313,0.01,0.01
314,0.01,0.01
315,0.01,0.01
316,0.01,0.01
317,0.01,0.01
318,0.01,0.01
319,0.01,0.01
320,0.01,0.01
321,0.01,0.01
322,0.01,0.01
323,0.01,0.01
324,0.01,0.01
325,0.01,0.02
326,0.01,0.02
327,0.01,0.02
328,0.01,0.02
329,0.01,0.02
330,0.01,0.03
331,0.01,0.05
332,0.01,0.09
333,0.01,0.18
334,0.01,0.39
335,0.01,0.59
336,0.01,0.73
337,0.01,0.9
338,0.01,0.94
339,0.01,0.88
340,0.01,0.85
341,0.01,0.65
342,0.01,0.33
343,0.01,0.14
