Frame,obj_1,obj_2
178,0.0,0.01
179,0.0,0.01
180,0.0,0.02
181,0.0,0.05
182,0.0,0.16
183,0.0,0.37
184,0.0,0.46
185,0.0,0.53
186,0.0,0.65
187,0.0,0.68
188,0.0,0.61
189,0.0,0.54
190,0.0,0.42
191,0.0,0.32
192,0.0,0.22
193,0.0,0.12
194,0.0,0.06
195,0.0,0.03
196,0.0,0.01
197,0.0,0.01
198,0.0,0.01
199,0.0,0.01
200,0.0,0.01
201,0.0,0.01
202,0.0,0.01
203,0.0,0.01
204,0.0,0.01
205,0.0,0.01
206,0.0,0.01
207,0.0,0.01
208,0.0,0.01
209,0.0,0.0
210,0.0,0.0
211,0.0,0.01
212,0.0,0.01
213,0.0,0.01
214,0.0,0.01
215,0.0,0.01
216,0.0,0.01
217,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,0.0,0.0
223,0.0,0.0
224,0.0,0.0
225,0.0,0.0
226,0.0,0.0
227,0.0,0.0
228,0.0,0.0
229,0.0,0.0
230,0.0,0.0
231,0.0,0.0
232,0.0,0.0
233,0.0,0.0
234,0.0,0.0
235,0.0,0.0
236,0.0,0.0
237,0.0,0.0
238,0.0,0.0
239,0.0,0.0
240,0.0,0.0
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,0.0
245,0.0,0.0
246,0.0,0.0
247,0.0,0.0
248,0.0,0.0
249,0.0,0.0
250,0.0,0.01
251,0.0,0.01
252,0.0,0.01
253,0.0,0.01
254,0.0,0.01
255,0.0,0.01
256,0.0,0.01
257,0.0,0.01
258,0.0,0.01
259,0.0,0.01
260,0.0,0.01
261,0.0,0.01
262,0.0,0.01
263,0.0,0.01
264,0.0,0.0
265,0.0,0.0
266,0.0,0.0
267,0.0,0.0
268,0.0,0.0
269,0.0,0.0
270,0.0,0.0
271,0.0,0.0
272,0.0,0.0
273,0.0,0.0
274,0.0,0.0
275,0.0,0.0
276,0.0,0.0
277,0.0,0.0
278,0.0,0.0
279,0.0,0.0
280,0.0,0.0
281,0.0,0.0
282,0.0,0.0
283,0.0,0.0
284,0.0,0.0
285,0.0,0.0
286,0.01,0.0
287,0.04,0.0
288,0.53,0.0
289,0.87,0.0
290,0.91,0.0
291,0.92,0.0
292,0.92,0.0
293,0.94,0.0
294,0.95,0.0
295,0.97,0.0
296,0.97,0.0
297,0.98,0.0
298,0.98,0.0
299,0.98,0.0
300,0.98,0.0
301,0.98,0.0
302,0.98,0.0
303,0.98,0.0
304,0.99,0.0
305,0.99,0.0
306,0.99,0.0
307,0.99,0.0
308,0.99,0.0
309,0.99,0.0
310,0.99,0.0
311,0.99,0.0
312,0.99,0.0
313,0.99,0.0
314,0.99,0.0
315,0.99,0.0
316,0.99,0.0
317,0.99,0.0
318,0.99,0.0
319,0.98,0.0
320,0.98,0.0
321,0.97,0.0
322,0.92,0.0
323,0.71,0.0
324,0.26,0.0
325,0.05,0.0
326,0.01,0.0
327,0.01,0.0
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,0.0,0.02
333,0.0,0.2
334,0.0,0.62
335,0.0,0.82
336,0.0,0.9
337,0.0,0.93
338,0.0,0.94
339,0.0,0.94
340,0.0,0.93
341,0.0,0.89
342,0.0,0.82
343,0.0,0.63
344,0.0,0.26
345,0.0,0.06
346,0.0,0.01
347,0.0,0.0
348,0.0,0.0
349,0.0,0.0
350,0.0,0.0
351,0.0,0.0
352,0.0,0.01
353,0.0,0.01
354,0.0,0.01
355,0.0,0.01
356,0.0,0.01
357,0.0,0.01
358,0.0,0.01
359,0.0,0.01
360,0.0,0.01
361,0.0,0.01
362,0.0,0.01
363,0.0,0.01
364,0.0,0.01
365,0.0,0.01
366,0.0,0.01
367,0.0,0.01
368,0.0,0.01
369,0.0,0.01
370,0.0,0.01
371,0.0,0.01
372,0.0,0.01
373,0.0,0.01
374,0.0,0.01
375,0.0,0.01
376,0.0,0.01
377,0.0,0.01
378,0.0,0.01
379,0.0,0.01
380,0.0,0.01
381,0.0,0.0
382,0.0,0.0
383,0.0,0.0
384,0.0,0.0
385,0.0,0.0
386,0.0,0.01
387,0.0,0.01
388,0.0,0.01
389,0.0,0.01
390,0.0,0.01
391,0.0,0.02
392,0.0,0.02
393,0.0,0.02
394,0.0,0.02
395,0.0,0.02
396,0.0,0.02
397,0.0,0.02
398,0.0,0.02
399,0.0,0.02
400,0.0,0.02
401,0.0,0.02
402,0.0,0.02
403,0.0,0.02
404,0.0,0.02
405,0.0,0.02
406,0.0,0.02
407,0.0,0.02
408,0.0,0.02
409,0.0,0.02
410,0.0,0.02
411,0.0,0.02
412,0.0,0.03
413,0.0,0.04
414,0.0,0.07
415,0.0,0.25
416,0.0,0.72
417,0.0,0.86
418,0.0,0.92
419,0.0,0.93
420,0.0,0.94
421,0.0,0.95
422,0.0,0.95
423,0.0,0.96
424,0.0,0.96
425,0.0,0.96
426,0.0,0.96
427,0.0,0.95
428,0.0,0.95
429,0.0,0.93
430,0.0,0.89
431,0.0,0.64
432,0.0,0.14
433,0.0,0.02
434,0.0,0.01
435,0.0,0.01
436,0.0,0.01
437,0.0,0.01
438,0.0,0.01
439,0.0,0.01
440,0.0,0.01
441,0.0,0.01
442,0.0,0.01
443,0.0,0.01
444,0.0,0.01
445,0.0,0.01
446,0.0,0.01
447,0.0,0.01
448,0.0,0.01
449,0.0,0.01
450,0.0,0.01
451,0.0,0.0
452,0.0,0.0
453,0.0,0.0
454,0.0,0.0
455,0.0,0.0
456,0.0,0.0
457,0.0,0.0
458,0.0,0.0
459,0.0,0.0
460,0.0,0.0
461,0.01,0.0
462,0.01,0.0
463,0.01,0.0
464,0.01,0.0
465,0.01,0.0
466,0.01,0.0
467,0.01,0.0
468,0.01,0.0
469,0.0,0.0
470,0.0,0.0
471,0.0,0.0
472,0.0,0.0
473,0.0,0.0
474,0.0,0.0
475,0.0,0.0
476,0.0,0.0
477,0.0,0.0
478,0.0,0.0
479,0.0,0.0
480,0.0,0.0
481,0.0,0.0
482,0.0,0.0
483,0.0,0.0
484,0.0,0.0
485,0.0,0.0
486,0.0,0.0
487,0.0,0.0
488,0.0,0.0
489,0.0,0.0
490,0.0,0.0
491,0.0,0.0
492,0.0,0.0
493,0.0,0.0
494,0.0,0.0
495,0.0,0.0
496,0.0,0.0
497,0.0,0.0
498,0.0,0.0
499,0.0,0.0
500,0.0,0.0
501,0.0,0.0
502,0.0,0.0
503,0.0,0.0
504,0.0,0.0
505,0.0,0.0
506,0.0,0.0
507,0.0,0.0
508,0.0,0.0
509,0.0,0.0
510,0.0,0.0
511,0.0,0.0
512,0.0,0.0
513,0.0,0.0
514,0.0,0.0
515,0.0,0.0
516,0.0,0.0
517,0.0,0.0
518,0.01,0.0
519,0.01,0.0
520,0.01,0.0
521,0.01,0.0
522,0.01,0.0
523,0.01,0.0
524,0.01,0.0
525,0.01,0.0
526,0.01,0.0
527,0.0,0.0
528,0.0,0.0
529,0.0,0.0
530,0.0,0.0
531,0.0,0.0
532,0.0,0.0
533,0.01,0.0
534,0.01,0.0
535,0.01,0.0
536,0.01,0.0
537,0.01,0.0
538,0.01,0.0
539,0.01,0.0
540,0.01,0.0
541,0.01,0.0
542,0.01,0.0
543,0.03,0.0
544,0.11,0.0
545,0.39,0.0
546,0.48,0.0
547,0.4,0.0
548,0.12,0.0
549,0.02,0.0
550,0.01,0.0
551,0.0,0.0
552,0.0,0.0
553,0.0,0.0
554,0.0,0.0
555,0.0,0.0
556,0.0,0.0
557,0.0,0.0
558,0.0,0.0
559,0.0,0.0
560,0.0,0.0
561,0.0,0.0
562,0.0,0.0
563,0.0,0.0
564,0.0,0.0
565,0.0,0.0
566,0.0,0.0
567,0.0,0.0
568,0.0,0.0
569,0.01,0.0
570,0.01,0.0
571,0.01,0.0
572,0.01,0.0
573,0.02,0.0
574,0.02,0.0
575,0.02,0.0
576,0.02,0.0
577,0.02,0.0
578,0.02,0.0
579,0.02,0.0
580,0.02,0.0
581,0.02,0.0
582,0.02,0.0
583,0.01,0.0
584,0.01,0.0
585,0.0,0.0
586,0.0,0.0
587,0.0,0.0
588,0.0,0.0
589,0.0,0.0
590,0.0,0.0
591,0.0,0.0
592,0.0,0.0
593,0.0,0.0
594,0.0,0.0
595,0.0,0.0
596,0.0,0.01
597,0.0,0.01
598,0.0,0.03
599,0.0,0.07
600,0.0,0.2
601,0.0,0.36
602,0.0,0.51
603,0.0,0.64
604,0.0,0.73
605,0.0,0.8
606,0.0,0.83
607,0.0,0.83
608,0.0,0.83
609,0.0,0.81
610,0.0,0.78
611,0.0,0.76
612,0.0,0.74
613,0.0,0.72
614,0.0,0.73
615,0.0,0.75
616,0.0,0.78
617,0.0,0.81
618,0.0,0.83
619,0.0,0.85
620,0.0,0.85
621,0.0,0.85
622,0.0,0.85
623,0.0,0.86
624,0.0,0.87
625,0.0,0.89
626,0.0,0.91
627,0.0,0.92
628,0.0,0.93
629,0.0,0.94
630,0.0,0.95
631,0.0,0.96
632,0.0,0.96
633,0.0,0.96
634,0.0,0.97
635,0.0,0.97
636,0.0,0.97
637,0.0,0.96
638,0.0,0.96
639,0.0,0.94
640,0.0,0.91
641,0.0,0.85
642,0.0,0.79
643,0.0,0.72
644,0.0,0.67
645,0.0,0.61
646,0.0,0.54
647,0.0,0.5
648,0.0,0.48
649,0.0,0.46
650,0.0,0.44
651,0.0,0.41
652,0.0,0.36
653,0.0,0.29
654,0.0,0.28
655,0.0,0.22
656,0.0,0.13
657,0.0,0.07
658,0.0,0.04
659,0.0,0.02
660,0.0,0.02
661,0.0,0.02
662,0.0,0.02
663,0.0,0.02
664,0.0,0.02
665,0.0,0.02
666,0.0,0.02
667,0.0,0.02
668,0.0,0.02
669,0.0,0.01
670,0.0,0.01
671,0.0,0.0
672,0.0,0.0
673,0.0,0.0
674,0.0,0.0
675,0.0,0.0
676,0.0,0.0
677,0.0,0.0
678,0.0,0.0
679,0.0,0.0
680,0.0,0.0
681,0.0,0.0
682,0.0,0.0
683,0.0,0.0
684,0.0,0.01
685,0.0,0.01
686,0.0,0.01
687,0.0,0.01
688,0.0,0.01
689,0.0,0.0
690,0.0,0.0
691,0.0,0.0
692,0.0,0.0
693,0.0,0.0
694,0.0,0.0
695,0.0,0.0
696,0.0,0.0
697,0.0,0.0
698,0.0,0.0
699,0.0,0.0
700,0.0,0.01
701,0.0,0.01
702,0.0,0.01
703,0.0,0.01
704,0.0,0.01
705,0.0,0.01
706,0.0,0.01
707,0.0,0.01
708,0.0,0.01
709,0.0,0.01
710,0.0,0.01
711,0.0,0.0
712,0.0,0.0
713,0.0,0.0
714,0.0,0.0
715,0.0,0.0
716,0.0,0.0
717,0.0,0.0
718,0.0,0.0
719,0.0,0.0
720,0.0,0.0
721,0.0,0.0
722,0.0,0.0
723,0.0,0.0
724,0.0,0.0
725,0.0,0.0
726,0.0,0.0
727,0.0,0.0
728,0.0,0.0
729,0.0,0.0
730,0.0,0.0
731,0.0,0.0
732,0.0,0.0
733,0.0,0.0
734,0.0,0.0
735,0.0,0.0
736,0.0,0.0
737,0.0,0.01
738,0.0,0.01
739,0.0,0.01
740,0.0,0.01
741,0.0,0.01
742,0.0,0.01
743,0.0,0.01
744,0.0,0.01
745,0.0,0.01
746,0.0,0.01
747,0.0,0.01
748,0.0,0.01
749,0.0,0.01
750,0.0,0.01
751,0.0,0.01
752,0.0,0.01
753,0.0,0.01
754,0.0,0.01
755,0.0,0.01
756,0.0,0.01
757,0.0,0.01
758,0.0,0.01
759,0.0,0.01
760,0.0,0.01
761,0.0,0.01
762,0.0,0.01
763,0.0,0.01
764,0.0,0.01
765,0.0,0.01
766,0.0,0.01
767,0.0,0.01
768,0.0,0.01
769,0.0,0.01
770,0.0,0.01
771,0.0,0.01
772,0.0,0.01
773,0.0,0.0
774,0.0,0.0
775,0.0,0.0
776,0.0,0.0
777,0.0,0.0
778,0.0,0.0
779,0.0,0.0
780,0.0,0.0
781,0.0,0.0
782,0.01,0.0
783,0.01,0.0
784,0.01,0.0
785,0.01,0.0
786,0.01,0.0
787,0.01,0.0
788,0.01,0.0
789,0.01,0.0
790,0.01,0.0
791,0.0,0.0
792,0.0,0.0
793,0.0,0.0
794,0.0,0.0
795,0.0,0.0
796,0.0,0.0
797,0.0,0.0
798,0.0,0.0
799,0.0,0.0
800,0.0,0.0
801,0.0,0.0
802,0.0,0.0
803,0.0,0.0
804,0.0,0.0
805,0.0,0.0
806,0.0,0.0
807,0.0,0.0
808,0.0,0.0
809,0.0,0.0
810,0.0,0.0
811,0.0,0.0
812,0.0,0.0
813,0.0,0.0
814,0.0,0.0
815,0.0,0.0
816,0.0,0.0
817,0.0,0.0
818,0.0,0.0
819,0.0,0.0
820,0.0,0.0
821,0.0,0.0
822,0.0,0.0
823,0.0,0.0
824,0.0,0.0
825,0.0,0.0
826,0.0,0.0
827,0.0,0.0
828,0.0,0.0
829,0.0,0.0
830,0.0,0.0
831,0.0,0.0
832,0.0,0.0
833,0.0,0.0
834,0.01,0.0
835,0.01,0.0
836,0.01,0.0
837,0.01,0.0
838,0.02,0.0
839,0.02,0.0
840,0.02,0.0
841,0.02,0.0
842,0.01,0.0
843,0.01,0.0
844,0.01,0.0
845,0.01,0.0
846,0.01,0.0
847,0.01,0.0
848,0.01,0.0
849,0.01,0.0
850,0.01,0.0
851,0.0,0.0
852,0.01,0.0
853,0.01,0.0
854,0.01,0.0
855,0.0,0.0
856,0.0,0.0
857,0.0,0.0
858,0.01,0.0
859,0.01,0.0
860,0.01,0.0
861,0.0,0.0
862,0.0,0.0
863,0.0,0.0
864,0.0,0.0
865,0.0,0.0
866,0.0,0.0
867,0.0,0.0
868,0.0,0.0
869,0.0,0.01
870,0.0,0.01
871,0.0,0.01
872,0.0,0.03
873,0.0,0.12
874,0.0,0.32
875,0.0,0.59
876,0.0,0.84
877,0.0,0.92
878,0.0,0.94
879,0.0,0.95
880,0.0,0.96
881,0.0,0.97
882,0.0,0.97
883,0.0,0.97
884,0.0,0.97
885,0.0,0.97
886,0.0,0.97
887,0.0,0.97
888,0.0,0.97
889,0.0,0.97
890,0.0,0.97
891,0.0,0.97
892,0.0,0.96
893,0.0,0.96
894,0.0,0.96
895,0.0,0.96
896,0.0,0.95
897,0.0,0.95
898,0.0,0.94
899,0.0,0.93
900,0.0,0.9
901,0.0,0.85
902,0.0,0.74
903,0.0,0.54
904,0.0,0.26
905,0.0,0.07
906,0.0,0.03
907,0.0,0.02
908,0.0,0.01
909,0.0,0.01
910,0.0,0.01
911,0.0,0.0
912,0.0,0.0
913,0.0,0.0
914,0.0,0.0
915,0.0,0.0
916,0.0,0.0
917,0.0,0.0
918,0.0,0.0
919,0.0,0.0
920,0.0,0.0
921,0.0,0.0
922,0.0,0.0
923,0.0,0.0
924,0.0,0.0
925,0.0,0.0
926,0.0,0.0
927,0.0,0.0
928,0.0,0.0
929,0.0,0.0
930,0.0,0.0
931,0.0,0.0
932,0.0,0.01
933,0.0,0.01
934,0.0,0.04
935,0.0,0.22
936,0.0,0.66
937,0.0,0.84
938,0.0,0.88
939,0.0,0.91
940,0.0,0.91
941,0.0,0.91
942,0.0,0.91
943,0.0,0.91
944,0.0,0.9
945,0.0,0.86
946,0.0,0.71
947,0.0,0.24
948,0.0,0.03
949,0.0,0.01
950,0.0,0.0
951,0.0,0.0
952,0.0,0.0
953,0.0,0.0
954,0.0,0.0
955,0.0,0.0
956,0.0,0.0
957,0.0,0.0
958,0.0,0.0
959,0.0,0.0
960,0.0,0.0
961,0.0,0.01
962,0.0,0.01
963,0.0,0.01
964,0.0,0.01
965,0.0,0.01
966,0.0,0.01
967,0.0,0.01
968,0.0,0.01
969,0.0,0.0
970,0.0,0.0
971,0.0,0.0
972,0.0,0.0
973,0.0,0.0
974,0.0,0.0
975,0.0,0.0
976,0.0,0.0
977,0.0,0.0
978,0.0,0.0
979,0.0,0.0
980,0.0,0.0
981,0.0,0.0
982,0.0,0.0
983,0.0,0.0
984,0.0,0.0
985,0.0,0.0
986,0.0,0.0
987,0.0,0.0
988,0.0,0.0
989,0.0,0.0
990,0.0,0.0
991,0.0,0.0
992,0.0,0.0
993,0.0,0.0
994,0.0,0.0
995,0.0,0.0
996,0.0,0.0
997,0.0,0.0
998,0.0,0.0
999,0.0,0.0
1000,0.0,0.0
1001,0.0,0.0
1002,0.0,0.0
1003,0.0,0.0
1004,0.0,0.0
1005,0.0,0.0
1006,0.0,0.0
1007,0.0,0.0
1008,0.0,0.0
1009,0.0,0.0
1010,0.0,0.0
1011,0.0,0.0
1012,0.0,0.0
1013,0.0,0.0
1014,0.0,0.0
1015,0.0,0.0
1016,0.0,0.0
1017,0.0,0.0
1018,0.0,0.0
1019,0.0,0.0
1020,0.0,0.0
1021,0.0,0.0
1022,0.0,0.0
1023,0.0,0.0
1024,0.0,0.0
1025,0.0,0.0
1026,0.0,0.0
1027,0.0,0.0
1028,0.0,0.0
1029,0.0,0.0
1030,0.0,0.0
1031,0.0,0.0
1032,0.0,0.0
1033,0.0,0.0
1034,0.0,0.0
1035,0.0,0.0
1036,0.0,0.0
1037,0.0,0.0
1038,0.0,0.0
1039,0.0,0.0
1040,0.0,0.0
1041,0.0,0.0
1042,0.0,0.0
1043,0.0,0.0
1044,0.0,0.0
1045,0.0,0.0
1046,0.0,0.0
1047,0.0,0.0
1048,0.0,0.0
1049,0.0,0.0
1050,0.0,0.0
1051,0.0,0.0
1052,0.0,0.0
1053,0.0,0.0
1054,0.0,0.0
1055,0.0,0.0
1056,0.0,0.0
1057,0.0,0.0
1058,0.0,0.0
1059,0.0,0.0
1060,0.0,0.0
1061,0.0,0.0
1062,0.0,0.0
1063,0.0,0.0
1064,0.0,0.0
1065,0.0,0.0
1066,0.0,0.0
1067,0.0,0.0
1068,0.0,0.0
1069,0.0,0.0
1070,0.0,0.0
1071,0.0,0.0
1072,0.0,0.0
1073,0.0,0.0
1074,0.0,0.0
1075,0.0,0.0
1076,0.0,0.0
1077,0.0,0.0
1078,0.0,0.0
1079,0.0,0.0
1080,0.0,0.0
1081,0.0,0.0
1082,0.0,0.0
1083,0.0,0.0
1084,0.0,0.0
1085,0.0,0.0
1086,0.0,0.0
1087,0.0,0.0
1088,0.0,0.0
1089,0.0,0.0
1090,0.0,0.0
1091,0.0,0.0
1092,0.0,0.0
1093,0.0,0.0
1094,0.0,0.0
1095,0.0,0.0
1096,0.0,0.0
1097,0.0,0.0
1098,0.0,0.0
1099,0.0,0.0
1100,0.0,0.0
1101,0.0,0.0
1102,0.0,0.0
1103,0.0,0.0
1104,0.0,0.0
1105,0.0,0.0
1106,0.0,0.0
1107,0.0,0.0
1108,0.0,0.0
1109,0.0,0.0
1110,0.0,0.0
1111,0.0,0.0
1112,0.0,0.0
1113,0.0,0.0
1114,0.0,0.0
1115,0.0,0.0
1116,0.0,0.0
1117,0.0,0.0
1118,0.0,0.0
1119,0.0,0.0
1120,0.0,0.0
1121,0.0,0.0
1122,0.0,0.0
1123,0.0,0.0
1124,0.0,0.0
1125,0.0,0.0
1126,0.0,0.0
1127,0.0,0.0
1128,0.0,0.0
1129,0.0,0.0
1130,0.0,0.0
1131,0.0,0.0
1132,0.0,0.0
1133,0.0,0.0
1134,0.0,0.0
1135,0.0,0.01
1136,0.0,0.01
1137,0.0,0.01
1138,0.0,0.01
1139,0.0,0.01
1140,0.0,0.01
1141,0.0,0.01
1142,0.0,0.01
1143,0.0,0.01
1144,0.0,0.01
1145,0.0,0.01
1146,0.0,0.01
1147,0.0,0.01
1148,0.0,0.01
1149,0.0,0.01
1150,0.0,0.01
1151,0.0,0.01
1152,0.0,0.01
1153,0.0,0.01
1154,0.0,0.01
1155,0.0,0.01
1156,0.0,0.01
1157,0.0,0.01
1158,0.0,0.01
1159,0.0,0.01
1160,0.0,0.01
1161,0.0,0.01
1162,0.0,0.01
1163,0.0,0.01
1164,0.0,0.01
1165,0.0,0.01
1166,0.0,0.01
1167,0.0,0.01
1168,0.0,0.0
1169,0.0,0.0
1170,0.0,0.0
1171,0.0,0.0
1172,0.0,0.0
1173,0.0,0.0
1174,0.0,0.0
1175,0.0,0.0
1176,0.0,0.0
1177,0.0,0.0
1178,0.0,0.0
1179,0.0,0.0
1180,0.0,0.0
1181,0.0,0.0
1182,0.0,0.0
1183,0.0,0.0
1184,0.0,0.0
1185,0.0,0.0
1186,0.0,0.0
1187,0.0,0.0
1188,0.0,0.0
1189,0.0,0.0
1190,0.0,0.0
1191,0.0,0.0
1192,0.0,0.0
1193,0.0,0.0
1194,0.0,0.0
1195,0.0,0.0
1196,0.0,0.0
1197,0.0,0.0
1198,0.0,0.0
1199,0.0,0.0
1200,0.0,0.0
1201,0.0,0.0
1202,0.0,0.0
1203,0.0,0.0
1204,0.0,0.0
1205,0.0,0.0
1206,0.0,0.0
1207,0.0,0.0
1208,0.0,0.0
1209,0.0,0.0
1210,0.0,0.0
1211,0.0,0.0
1212,0.0,0.0
1213,0.0,0.0
1214,0.0,0.0
1215,0.0,0.0
1216,0.0,0.0
1217,0.0,0.0
1218,0.0,0.0
1219,0.0,0.0
1220,0.0,0.0
1221,0.0,0.0
1222,0.0,0.0
1223,0.0,0.0
1224,0.0,0.0
1225,0.0,0.0
1226,0.0,0.0
1227,0.0,0.0
1228,0.0,0.0
1229,0.0,0.0
1230,0.0,0.0
1231,0.0,0.01
1232,0.0,0.01
1233,0.0,0.01
1234,0.0,0.01
1235,0.0,0.01
1236,0.0,0.01
1237,0.0,0.01
1238,0.0,0.01
1239,0.0,0.01
1240,0.0,0.01
1241,0.0,0.01
1242,0.0,0.01
1243,0.0,0.01
1244,0.0,0.01
1245,0.0,0.01
1246,0.0,0.01
1247,0.0,0.01
1248,0.0,0.01
1249,0.0,0.01
1250,0.0,0.01
1251,0.0,0.01
1252,0.0,0.01
1253,0.0,0.01
1254,0.0,0.01
1255,0.0,0.01
1256,0.0,0.01
1257,0.0,0.0
1258,0.0,0.0
1259,0.0,0.0
1260,0.0,0.0
1261,0.0,0.0
1262,0.0,0.0
1263,0.0,0.0
1264,0.0,0.0
1265,0.0,0.0
1266,0.0,0.0
1267,0.0,0.01
1268,0.0,0.01
1269,0.0,0.01
1270,0.0,0.01
1271,0.0,0.01
1272,0.0,0.01
1273,0.0,0.01
1274,0.0,0.01
1275,0.0,0.01
1276,0.0,0.01
1277,0.0,0.01
1278,0.0,0.01
1279,0.0,0.0
1280,0.0,0.0
1281,0.0,0.01
1282,0.0,0.01
1283,0.0,0.01
1284,0.0,0.01
1285,0.0,0.02
1286,0.0,0.02
1287,0.0,0.03
1288,0.0,0.02
1289,0.0,0.01
1290,0.0,0.01
1291,0.0,0.01
1292,0.0,0.01
1293,0.0,0.01
1294,0.0,0.01
1295,0.0,0.01
1296,0.0,0.01
1297,0.0,0.01
1298,0.0,0.02
1299,0.0,0.07
1300,0.0,0.25
1301,0.0,0.51
1302,0.0,0.81
1303,0.0,0.91
1304,0.0,0.95
1305,0.0,0.96
1306,0.0,0.96
1307,0.0,0.96
1308,0.0,0.97
1309,0.0,0.97
1310,0.0,0.97
1311,0.0,0.96
1312,0.0,0.96
1313,0.0,0.96
1314,0.0,0.96
1315,0.0,0.96
1316,0.0,0.96
1317,0.0,0.97
1318,0.0,0.97
1319,0.0,0.96
1320,0.0,0.96
1321,0.0,0.96
1322,0.0,0.96
1323,0.0,0.95
1324,0.0,0.95
1325,0.0,0.95
1326,0.0,0.95
1327,0.0,0.95
1328,0.0,0.95
1329,0.0,0.95
1330,0.0,0.94
1331,0.0,0.93
1332,0.0,0.93
1333,0.0,0.91
1334,0.0,0.89
1335,0.0,0.88
1336,0.0,0.85
1337,0.0,0.82
1338,0.0,0.8
1339,0.0,0.78
1340,0.0,0.78
1341,0.0,0.8
1342,0.0,0.8
1343,0.0,0.81
1344,0.0,0.83
1345,0.0,0.84
1346,0.0,0.88
1347,0.0,0.91
1348,0.0,0.92
1349,0.0,0.92
1350,0.0,0.94
1351,0.0,0.94
1352,0.0,0.95
1353,0.0,0.96
1354,0.0,0.96
1355,0.0,0.97
1356,0.0,0.97
1357,0.0,0.97
1358,0.0,0.97
1359,0.0,0.97
1360,0.0,0.97
1361,0.0,0.97
