Frame,obj_1,obj_2
1,0.01,0.02
2,0.01,0.01
3,0.01,0.01
4,0.01,0.01
5,0.01,0.01
6,0.01,0.01
7,0.01,0.02
8,0.01,0.01
9,0.01,0.01
10,0.02,0.01
11,0.02,0.01
12,0.02,0.01
13,0.01,0.01
14,0.01,0.01
15,0.01,0.01
16,0.01,0.01
17,0.01,0.01
18,0.01,0.01
19,0.02,0.01
20,0.02,0.01
21,0.03,0.01
22,0.08,0.01
23,0.17,0.01
24,0.52,0.01
25,0.94,0.01
26,0.98,0.01
27,0.99,0.01
28,0.99,0.01
29,0.99,0.01
30,0.99,0.01
31,0.99,0.01
32,0.98,0.01
33,0.96,0.01
34,0.73,0.01
35,0.15,0.01
36,0.05,0.01
37,0.02,0.01
38,0.02,0.01
39,0.01,0.01
40,0.01,0.01
41,0.01,0.01
42,0.01,0.01
43,0.02,0.01
44,0.02,0.01
45,0.02,0.01
46,0.03,0.01
47,0.03,0.01
48,0.03,0.01
49,0.03,0.01
50,0.03,0.01
51,0.03,0.02
52,0.02,0.02
53,0.02,0.02
54,0.01,0.02
55,0.01,0.02
56,0.01,0.02
57,0.01,0.02
58,0.01,0.02
59,0.01,0.02
60,0.01,0.02
61,0.01,0.02
62,0.01,0.02
63,0.01,0.02
64,0.01,0.02
65,0.01,0.03
66,0.01,0.03
67,0.01,0.03
68,0.01,0.03
69,0.01,0.03
70,0.01,0.02
71,0.01,0.01
72,0.01,0.01
73,0.01,0.01
74,0.01,0.01
75,0.01,0.01
76,0.01,0.01
77,0.01,0.01
78,0.01,0.02
79,0.01,0.02
80,0.01,0.02
81,0.01,0.02
82,0.01,0.02
83,0.01,0.02
84,0.01,0.02
85,0.01,0.01
86,0.01,0.01
87,0.01,0.01
88,0.01,0.01
89,0.01,0.01
90,0.01,0.01
91,0.01,0.01
92,0.01,0.01
93,0.01,0.01
94,0.01,0.01
95,0.01,0.01
96,0.01,0.01
97,0.01,0.01
98,0.01,0.01
99,0.01,0.01
100,0.01,0.01
101,0.01,0.01
102,0.01,0.01
103,0.01,0.01
104,0.01,0.01
105,0.01,0.02
106,0.01,0.02
107,0.01,0.01
108,0.01,0.01
109,0.01,0.01
110,0.01,0.01
111,0.01,0.01
112,0.01,0.01
113,0.01,0.01
114,0.01,0.01
115,0.01,0.01
116,0.01,0.01
117,0.01,0.01
118,0.01,0.01
119,0.01,0.01
120,0.01,0.01
121,0.02,0.01
122,0.02,0.01
123,0.02,0.01
124,0.02,0.01
125,0.02,0.01
126,0.02,0.01
127,0.02,0.01
128,0.02,0.01
129,0.02,0.01
130,0.02,0.01
131,0.02,0.01
132,0.02,0.01
133,0.02,0.01
134,0.02,0.01
135,0.02,0.01
136,0.02,0.01
137,0.02,0.01
138,0.02,0.01
139,0.02,0.01
140,0.02,0.01
141,0.02,0.01
142,0.02,0.01
143,0.02,0.01
144,0.02,0.01
145,0.02,0.01
146,0.02,0.01
147,0.02,0.01
148,0.02,0.01
149,0.02,0.01
150,0.02,0.01
151,0.02,0.01
152,0.02,0.01
153,0.02,0.01
154,0.02,0.01
155,0.02,0.01
156,0.02,0.01
157,0.02,0.01
158,0.02,0.01
159,0.02,0.01
160,0.02,0.01
161,0.02,0.01
162,0.02,0.01
163,0.02,0.01
164,0.02,0.01
165,0.02,0.01
166,0.02,0.01
167,0.02,0.01
168,0.02,0.01
169,0.02,0.01
170,0.02,0.01
171,0.02,0.01
172,0.02,0.01
173,0.02,0.01
174,0.02,0.01
175,0.02,0.01
176,0.02,0.01
177,0.02,0.01
178,0.02,0.01
179,0.02,0.01
180,0.02,0.01
181,0.02,0.01
182,0.02,0.01
183,0.02,0.01
184,0.02,0.01
185,0.02,0.01
186,0.02,0.01
187,0.02,0.01
188,0.02,0.01
189,0.02,0.01
190,0.02,0.01
191,0.02,0.01
192,0.02,0.01
193,0.02,0.01
194,0.02,0.01
195,0.02,0.01
196,0.02,0.01
197,0.02,0.01
198,0.02,0.01
199,0.02,0.01
200,0.02,0.01
201,0.02,0.01
202,0.02,0.01
203,0.02,0.01
204,0.02,0.01
205,0.02,0.01
206,0.02,0.01
207,0.02,0.01
208,0.02,0.01
209,0.02,0.01
210,0.02,0.01
211,0.02,0.01
212,0.02,0.01
213,0.02,0.01
214,0.02,0.01
215,0.02,0.01
216,0.02,0.01
217,0.02,0.01
218,0.02,0.01
219,0.02,0.01
220,0.02,0.01
221,0.02,0.01
222,0.02,0.01
223,0.02,0.01
224,0.02,0.01
225,0.02,0.01
226,0.02,0.01
227,0.02,0.01
228,0.02,0.01
229,0.02,0.01
230,0.02,0.01
231,0.02,0.01
232,0.02,0.01
233,0.02,0.01
234,0.02,0.01
235,0.01,0.01
236,0.01,0.01
237,0.01,0.01
238,0.01,0.01
239,0.01,0.01
240,0.01,0.01
241,0.01,0.01
242,0.01,0.01
243,0.01,0.01
244,0.01,0.01
245,0.01,0.01
246,0.01,0.01
247,0.01,0.01
248,0.01,0.01
249,0.01,0.01
250,0.01,0.01
251,0.01,0.01
252,0.01,0.01
253,0.01,0.02
254,0.01,0.02
255,0.01,0.02
256,0.01,0.02
257,0.01,0.02
258,0.01,0.02
259,0.01,0.02
260,0.01,0.02
261,0.01,0.02
262,0.01,0.02
263,0.01,0.01
264,0.01,0.01
265,0.01,0.01
266,0.01,0.01
267,0.01,0.01
268,0.01,0.01
269,0.01,0.02
270,0.01,0.02
271,0.01,0.02
272,0.01,0.03
273,0.01,0.03
274,0.01,0.05
275,0.01,0.07
276,0.01,0.12
277,0.01,0.42
278,0.01,0.92
279,0.01,0.98
280,0.01,0.99
281,0.01,0.99
282,0.01,0.99
283,0.01,1.0
284,0.01,1.0
285,0.01,1.0
286,0.01,1.0
287,0.01,1.0
288,0.01,1.0
289,0.01,1.0
290,0.01,0.99
291,0.01,0.98
292,0.01,0.72
293,0.01,0.09
294,0.01,0.04
295,0.01,0.03
296,0.01,0.02
297,0.01,0.02
298,0.01,0.02
299,0.01,0.02
300,0.01,0.02
301,0.01,0.02
302,0.01,0.02
303,0.01,0.02
304,0.01,0.01
305,0.01,0.01
306,0.01,0.01
307,0.01,0.01
308,0.01,0.01
309,0.01,0.01
310,0.01,0.01
311,0.01,0.01
312,0.01,0.01
313,0.01,0.01
314,0.01,0.02
315,0.01,0.02
316,0.01,0.02
317,0.01,0.02
318,0.01,0.02
319,0.01,0.02
320,0.01,0.02
321,0.01,0.03
322,0.01,0.04
323,0.01,0.05
324,0.01,0.08
325,0.01,0.12
326,0.01,0.18
327,0.01,0.27
328,0.01,0.23
329,0.01,0.17
330,0.01,0.11
331,0.01,0.06
332,0.01,0.04
333,0.01,0.03
334,0.01,0.02
335,0.01,0.02
336,0.01,0.02
337,0.01,0.01
338,0.01,0.01
339,0.01,0.01
340,0.01,0.01
341,0.01,0.01
342,0.01,0.01
343,0.01,0.01
