Frame,nose_dist,body_dist,freezing,location,Left,Right
1,0.0,0.0,0,other,0.0,0.0
2,0.0,0.0,0,other,0.0,0.0
3,0.0,0.0,0,other,0.0,0.0
4,0.0,0.0,0,other,0.0,0.0
5,0.0,0.0,0,other,0.0,0.0
6,0.0,0.0,0,other,0.0,0.0
7,0.0,0.0,0,other,0.0,0.0
8,0.0,0.0,0,other,0.0,0.0
9,0.0,0.0,0,other,0.0,0.0
10,0.0,0.0,0,other,0.0,0.0
11,0.0,0.0,0,other,0.0,0.0
12,0.0,0.0,0,other,0.0,0.0
13,0.0,0.0,0,other,0.0,0.0
14,0.0,0.0,0,other,0.0,0.0
15,0.0,0.0,0,other,0.0,0.0
16,0.0,0.0,0,other,0.0,0.0
17,0.0,0.0,0,other,0.0,0.0
18,0.0,0.0,0,other,0.0,0.0
19,0.0,0.0,0,other,0.0,0.0
20,0.0,0.0,0,other,0.0,0.0
21,0.0,0.0,0,other,0.0,0.0
22,0.0,0.0,0,other,0.0,0.0
23,0.0,0.0,0,other,0.0,0.0
24,0.0,0.0,0,other,0.0,0.0
25,0.0,0.0,0,other,0.0,0.0
26,0.0,0.0,0,other,0.0,0.0
27,0.0,0.0,0,other,0.0,0.0
28,0.0,0.0,0,other,0.0,0.0
29,0.0,0.0,0,other,0.0,0.0
30,0.0,0.0,0,other,0.0,0.0
31,0.0,0.0,0,other,0.0,0.0
32,0.0,0.0,0,other,0.0,0.0
33,0.0,0.0,0,other,0.0,0.0
34,0.0,0.0,0,other,0.0,0.0
35,0.0,0.0,0,other,0.0,0.0
36,0.0,0.0,0,other,0.0,0.0
37,0.0,0.0,0,other,0.10732121,0.0
38,0.0,0.0,0,other,0.28106907,0.0
39,0.0,0.0,0,other,0.5714963,0.0
40,0.0,0.0,0,left,0.79795736,0.0
41,0.0,0.0,0,left,0.89195657,0.0
42,0.0,0.0,0,other,0.92552763,0.0
43,0.0,0.0,0,other,0.93838245,0.0
44,0.0,0.0,0,other,0.9467854,0.0
45,0.0,0.0,0,other,0.9525034,0.0
46,0.0,0.0,0,other,0.95729023,0.0
47,0.0,0.0,0,other,0.96100134,0.0
48,0.0,0.0,0,other,0.963963,0.0
49,0.0,0.0,0,other,0.9664544,0.0
50,0.0,0.0,0,other,0.96816903,0.0
51,0.0,0.0,0,other,0.9704096,0.0
52,0.0,0.0,0,other,0.9726482,0.0
53,0.0,0.0,0,other,0.974453,0.0
